DateTime,Initial Claims
20060401,303600
20060501,332750
20060601,305500
20060701,318800
20060801,314250
20060901,316200
20061001,315500
20061101,326250
20061201,324000
20070101,317250
20070201,322750
20070301,309400
20070401,320250
20070501,304250
20070601,315200
20070701,313250
20070801,320000
20070901,313400
20071001,328250
20071101,336000
20071201,348200
20080101,338750
20080201,346750
20080301,363400
20080401,359500
20080501,366800
20080601,383250
20080701,398000
20080801,433000
20080901,464000
20081001,475250
20081101,519800
20081201,564000
20090101,572000
20090201,644000
20090301,659250
20090401,627750
20090501,612000
20090601,598250
20090701,566500
20090801,559200
20090901,547500
20091001,525400
20091101,494000
20091201,485500
20100101,479800
20100201,485750
20100301,470250
20100401,469000
20100501,459400
20100601,460500
20100701,459200
20100801,475000
20100901,453500
20101001,446800
20101101,426250
20101201,420250
20110101,426800
20110201,401500
20110301,406000
20110401,420600
20110501,422500
20110601,418250
20110701,412600
20110801,409500
20110901,417750
20111001,402400
20111101,389250
20111201,377000
20120101,377750
20120201,363250
20120301,366600
20120401,381750
20120501,373500
20120601,379200
20120701,372500
20120801,373250
20120901,381800
20121001,368500
20121101,401250
20121201,359000
20130101,353000
20130201,353000
20130301,351800
20130401,347250
20130501,347750
20130601,344600
20130701,346000
20130801,333400
20130901,314000
20131001,358500
20131101,328200
20131201,346000
20140101,326750
20140201,335250
20140301,321000
20140401,322750
20140501,313800
20140601,313500
20140701,301750
20140801,302000
20140901,295000
20141001,288750
20141101,291600
20141201,284500
20150101,287600
20150201,301250
20150301,284000
20150401,286000
20150501,274000
20150601,273750
20150701,277750
20150801,275200
20150901,269500
20151001,267000
20151101,268500
20151201,271000
20160101,279600
20160201,266750
20160301,263250
20160401,266000
20160501,274500
20160601,265250
20160701,259400
20160801,263500
20160901,251500
20161001,255800
20161101,245750
20161201,252200
20170101,244000
20170201,230250
20170301,233750
20170401,227800
20170501,239000
20170601,248000
20170701,250800
20170801,247750
20170901,272400
20171001,242250
20171101,247750
20171201,242600
20180101,235250
20180201,221000
20180301,225800
20180401,221500
20180501,221250
20180601,222600
20180701,209500
20180801,208500
20180901,205200
20181001,213000
20181101,225250
20181201,224600
20190101,222750
20190201,222500
20190301,211800
20190401,209750
20190501,218500
20190601,225200
20190701,208500
20190801,211000
20190901,209500
20191001,212250
20191101,224400
20191201,236000
20200101,215500
20200201,210200
20200301,2335250
20200401,4663250
20200501,2173400
20200601,1490250
20200701,1383500
20200801,922400
20200901,851750
20201001,795400
20201101,751250
20201201,836750
20210101,827800
20210201,755000
20210301,669250
20210401,589000
20210501,469200
20210601,409750
20210701,370000
20210801,360000
20210901,355500
20211001,284800
20211101,236500
20211201,216250
20220101,237600
20220201,219500
20220301,215000
20220401,213200
20220501,210000
20220601,213500
20220701,218200
20220801,216500
20220901,197750
20221001,202400
20221101,210750
20221201,208000
20230101,203500
20230201,215000
20230301,228750
20230401,216600
20230501,226250
20230601,251750
20230701,234800
20230801,245000
20230901,219000
20231001,210250
20231101,218000
20231201,207400
20240101,210000
20240201,210750
20240301,215000
20240401,210250
20240501,222000
20240601,235600
20240701,236500
20240801,230800
20240901,225000
20241001,236250
20241101,219400
20241201,222250
20250101,213500
20250201,226000
20250301,223200
