DateTime,Real Manufacturing and Trade Industries Sales
20060401,1205627
20060501,1215535
20060601,1212189
20060701,1206927
20060801,1213695
20060901,1213475
20061001,1214355
20061101,1215059
20061201,1234494
20070101,1226965
20070201,1234327
20070301,1235875
20070401,1233744
20070501,1242000
20070601,1240587
20070701,1233195
20070801,1248674
20070901,1249279
20071001,1255916
20071101,1252867
20071201,1242662
20080101,1248910
20080201,1236974
20080301,1220580
20080401,1233018
20080501,1224494
20080601,1222857
20080701,1201769
20080801,1192943
20080901,1163601
20081001,1152758
20081101,1121305
20081201,1115214
20090101,1091570
20090201,1098345
20090301,1075682
20090401,1067305
20090501,1067765
20090601,1066077
20090701,1081824
20090801,1082444
20090901,1083725
20091001,1089060
20091101,1097236
20091201,1100924
20100101,1097775
20100201,1105025
20100301,1119036
20100401,1129045
20100501,1125510
20100601,1136355
20100701,1145984
20100801,1146566
20100901,1146388
20101001,1152306
20101101,1155595
20101201,1157650
20110101,1171839
20110201,1155055
20110301,1168286
20110401,1164024
20110501,1154888
20110601,1166558
20110701,1171851
20110801,1180548
20110901,1172878
20111001,1187685
20111101,1183388
20111201,1193759
20120101,1200818
20120201,1205143
20120301,1204027
20120401,1207954
20120501,1211617
20120601,1208240
20120701,1210539
20120801,1209461
20120901,1211283
20121001,1206602
20121101,1228837
20121201,1233388
20130101,1237216
20130201,1242279
20130301,1235591
20130401,1233842
20130501,1247803
20130601,1243929
20130701,1244157
20130801,1249320
20130901,1253661
20131001,1260475
20131101,1275801
20131201,1270949
20140101,1258055
20140201,1268722
20140301,1279006
20140401,1280443
20140501,1283964
20140601,1283791
20140701,1291656
20140801,1294102
20140901,1293829
20141001,1295747
20141101,1298950
20141201,1306392
20150101,1308978
20150201,1303724
20150301,1310961
20150401,1321167
20150501,1307579
20150601,1309833
20150701,1313431
20150801,1315072
20150901,1327948
20151001,1325144
20151101,1322511
20151201,1320606
20160101,1321509
20160201,1332078
20160301,1332612
20160401,1331387
20160501,1323914
20160601,1331850
20160701,1330786
20160801,1340941
20160901,1342844
20161001,1344497
20161101,1345017
20161201,1361415
20170101,1365202
20170201,1363025
20170301,1360169
20170401,1355381
20170501,1360858
20170601,1365370
20170701,1370870
20170801,1378509
20170901,1385196
20171001,1393064
20171101,1403474
20171201,1412747
20180101,1394188
20180201,1401163
20180301,1398064
20180401,1398213
20180501,1408616
20180601,1402036
20180701,1405164
20180801,1412014
20180901,1411531
20181001,1406996
20181101,1411645
20181201,1408513
20190101,1411462
20190201,1408768
20190301,1405640
20190401,1394958
20190501,1403604
20190601,1405269
20190701,1406165
20190801,1409855
20190901,1405353
20191001,1389568
20191101,1396759
20191201,1390886
20200101,1389179
20200201,1395260
20200301,1334425
20200401,1183939
20200501,1278041
20200601,1375409
20200701,1412258
20200801,1415960
20200901,1422028
20201001,1433976
20201101,1434160
20201201,1446288
20210101,1475943
20210201,1432612
20210301,1483563
20210401,1483644
20210501,1452995
20210601,1456460
20210701,1460814
20210801,1451881
20210901,1457056
20211001,1466041
20211101,1470553
20211201,1468043
20220101,1487693
20220201,1476359
20220301,1470152
20220401,1469036
20220501,1448721
20220601,1443651
20220701,1450643
20220801,1469845
20220901,1465435
20221001,1470144
20221101,1456356
20221201,1471197
20230101,1490564
20230201,1479479
20230301,1466835
20230401,1465398
20230501,1479070
20230601,1475131
20230701,1489088
20230801,1486896
20230901,1494782
20231001,1495171
20231101,1505172
20231201,1516894
20240101,1501571
20240201,1508218
20240301,1506005
20240401,1502289
20240501,1511598
20240601,1518826
20240701,1529744
20240801,1530317
20240901,1541305
20241001,1538457
20241101,1545040
20241201,1558008
20250101,1539183
20250201,1527415
20250301,1529015
